Tabla 1
IdVenta;IdProducto;IdCliente;Cantidad;FechaVenta
54;4;4;4;2023-06-30 00:00:00
55;4;19;4;2024-09-23 00:00:00
56;4;7;4;2023-06-13 00:00:00
57;9;17;2;2023-06-06 00:00:00
58;10;12;3;2023-07-09 00:00:00
59;7;2;3;2023-01-01 00:00:00
60;6;9;2;2023-09-01 00:00:00
61;7;4;4;2024-10-15 00:00:00
62;1;1;3;2023-08-04 00:00:00
63;1;18;1;2024-11-01 00:00:00
64;10;11;4;2024-07-12 00:00:00
65;9;10;2;2023-03-25 00:00:00
66;5;18;3;2023-05-10 00:00:00
67;1;19;4;2023-04-29 00:00:00
68;7;3;1;2024-03-07 00:00:00
69;8;13;3;2023-02-09 00:00:00
70;1;9;2;2024-05-03 00:00:00
71;8;10;3;2024-07-22 00:00:00
72;2;2;3;2024-10-20 00:00:00
73;7;13;2;2023-09-18 00:00:00
74;10;11;4;2024-11-19 00:00:00
75;7;1;2;2023-10-09 00:00:00
76;1;20;2;2023-10-21 00:00:00
77;9;15;4;2024-05-12 00:00:00
78;7;5;2;2023-10-26 00:00:00
79;9;7;1;2023-08-03 00:00:00
80;10;10;4;2023-02-06 00:00:00
81;3;2;1;2023-03-21 00:00:00
82;8;12;1;2024-04-11 00:00:00
83;7;6;1;2023-11-18 00:00:00
84;3;2;3;2023-12-10 00:00:00
85;8;20;4;2023-11-27 00:00:00
86;6;17;3;2023-04-21 00:00:00
87;4;16;2;2024-03-22 00:00:00
88;2;12;2;2024-08-18 00:00:00
89;4;11;3;2023-07-04 00:00:00
90;6;7;2;2023-08-06 00:00:00
91;9;1;2;2024-04-08 00:00:00
92;2;8;2;2023-05-11 00:00:00
93;7;10;3;2023-09-19 00:00:00
94;2;4;1;2023-01-05 00:00:00
95;3;12;3;2023-07-20 00:00:00
96;2;3;4;2024-02-04 00:00:00
97;3;7;1;2023-04-30 00:00:00
98;5;10;4;2023-05-24 00:00:00
99;5;13;4;2024-11-20 00:00:00
100;4;17;3;2023-07-10 00:00:00
101;8;14;4;2023-02-02 00:00:00
102;7;10;3;2023-04-26 00:00:00
103;1;6;2;2024-08-24 00:00:00
104;3;18;1;2024-09-05 00:00:00
105;4;12;2;2023-02-16 00:00:00
106;4;3;2;2023-09-27 00:00:00
107;10;20;3;2023-08-08 00:00:00
108;9;15;4;2024-12-06 00:00:00
109;9;13;4;2023-09-12 00:00:00
110;9;17;2;2023-04-20 00:00:00
111;4;3;1;2023-02-24 00:00:00
112;8;10;3;2024-11-07 00:00:00
113;3;8;3;2024-08-06 00:00:00
114;1;1;4;2024-09-07 00:00:00
115;8;18;1;2024-01-18 00:00:00
116;4;20;2;2024-05-02 00:00:00
117;2;5;3;2024-08-20 00:00:00
118;10;19;1;2023-01-13 00:00:00
119;10;8;1;2024-06-26 00:00:00
120;6;1;1;2024-02-28 00:00:00
121;8;15;3;2023-12-31 00:00:00
122;6;2;2;2024-06-14 00:00:00
123;9;15;4;2024-08-31 00:00:00
124;5;1;1;2024-11-26 00:00:00
125;6;1;2;2024-11-01 00:00:00
126;2;9;3;2024-07-10 00:00:00
127;9;16;2;2023-01-21 00:00:00
128;3;2;2;2023-02-28 00:00:00
129;8;13;4;2024-01-24 00:00:00
130;9;7;2;2024-06-23 00:00:00
131;2;19;3;2023-12-19 00:00:00
132;8;7;2;2024-06-05 00:00:00
133;6;5;1;2024-04-16 00:00:00
134;6;5;1;2024-11-25 00:00:00
135;3;10;1;2024-11-29 00:00:00
136;3;1;3;2024-12-03 00:00:00
137;1;9;1;2023-05-08 00:00:00
138;2;8;4;2023-10-23 00:00:00
139;9;4;4;2023-03-14 00:00:00
140;3;15;3;2023-01-12 00:00:00
141;2;20;1;2023-05-16 00:00:00
142;7;15;4;2024-10-14 00:00:00
143;7;15;2;2023-12-25 00:00:00
144;10;9;1;2024-05-26 00:00:00
145;8;16;4;2024-03-12 00:00:00
146;1;15;2;2024-09-04 00:00:00
147;9;7;4;2023-01-13 00:00:00
148;4;15;2;2023-04-22 00:00:00
149;9;8;4;2024-10-26 00:00:00
150;9;1;3;2023-09-19 00:00:00
151;4;16;2;2023-04-10 00:00:00
152;1;8;1;2024-03-04 00:00:00
153;7;18;4;2023-09-21 00:00:00
154;7;4;2;2023-06-21 00:00:00
155;5;1;4;2024-05-31 00:00:00
156;2;10;4;2024-09-08 00:00:00
157;4;16;2;2024-06-24 00:00:00
158;4;18;3;2023-02-26 00:00:00
159;9;20;4;2023-07-20 00:00:00
160;8;1;2;2024-02-18 00:00:00
161;7;18;3;2023-05-12 00:00:00
162;9;12;1;2023-03-14 00:00:00
163;5;12;1;2023-10-28 00:00:00
164;7;9;3;2024-03-11 00:00:00
165;3;5;1;2023-05-28 00:00:00
166;10;8;2;2023-06-02 00:00:00
167;2;9;3;2023-05-15 00:00:00
168;6;6;3;2024-05-20 00:00:00
169;8;4;2;2023-05-29 00:00:00
170;3;1;2;2024-10-16 00:00:00
171;10;17;3;2023-08-31 00:00:00
172;10;5;4;2024-11-13 00:00:00
173;5;12;2;2024-03-28 00:00:00
174;10;3;3;2023-10-30 00:00:00
175;3;11;3;2023-07-14 00:00:00
176;10;6;3;2024-11-14 00:00:00
177;2;13;2;2023-05-31 00:00:00
178;5;4;3;2023-03-09 00:00:00
179;10;12;2;2023-09-13 00:00:00
180;2;15;4;2023-03-24 00:00:00
181;6;4;2;2023-07-06 00:00:00
182;5;5;3;2023-03-06 00:00:00
183;1;15;4;2023-06-23 00:00:00
184;4;8;4;2024-04-17 00:00:00
185;9;19;1;2024-02-03 00:00:00
186;9;19;3;2024-04-08 00:00:00
187;5;5;1;2023-08-25 00:00:00
188;8;7;2;2024-06-30 00:00:00
189;9;15;1;2023-01-05 00:00:00
190;1;17;4;2023-01-28 00:00:00
191;7;3;2;2023-09-24 00:00:00
192;7;17;3;2023-11-24 00:00:00
193;3;20;3;2024-12-19 00:00:00
194;8;4;3;2023-04-01 00:00:00
195;5;12;2;2024-04-10 00:00:00
196;7;14;3;2023-07-16 00:00:00
197;6;6;3;2024-11-16 00:00:00
198;6;12;2;2023-02-26 00:00:00
199;9;5;3;2023-12-04 00:00:00
200;10;8;2;2024-03-23 00:00:00
201;2;13;2;2023-07-11 00:00:00
202;2;14;2;2024-10-20 00:00:00
203;8;5;1;2024-05-04 00:00:00
204;6;13;2;2024-06-20 00:00:00
205;9;16;2;2023-08-09 00:00:00
206;1;19;2;2024-04-06 00:00:00
207;10;11;3;2024-08-13 00:00:00
208;6;6;1;2024-11-25 00:00:00
209;6;2;1;2024-06-07 00:00:00
210;4;11;4;2024-10-20 00:00:00
211;7;16;4;2023-07-08 00:00:00
212;7;17;1;2023-07-13 00:00:00
213;6;19;1;2024-08-25 00:00:00
214;4;3;1;2024-02-07 00:00:00
215;9;2;4;2023-10-14 00:00:00
216;9;18;2;2024-07-07 00:00:00
217;6;17;4;2023-11-17 00:00:00
218;8;18;4;2023-05-14 00:00:00
219;9;6;4;2024-06-20 00:00:00
220;3;12;2;2024-07-20 00:00:00
221;9;1;3;2023-03-09 00:00:00
222;1;6;2;2023-10-28 00:00:00
223;7;6;2;2023-06-29 00:00:00
224;10;2;3;2024-09-27 00:00:00
225;2;14;4;2024-03-24 00:00:00
226;10;17;2;2023-04-08 00:00:00
227;2;20;3;2023-03-13 00:00:00
228;7;7;1;2024-07-16 00:00:00
229;8;19;4;2023-08-01 00:00:00
230;8;7;2;2023-11-30 00:00:00
231;2;19;4;2023-12-18 00:00:00
232;5;12;1;2023-10-04 00:00:00
233;8;19;1;2024-08-27 00:00:00
234;8;5;4;2023-05-06 00:00:00
235;1;3;3;2024-11-13 00:00:00
236;5;5;2;2024-03-11 00:00:00
237;7;6;1;2023-12-02 00:00:00
238;7;5;4;2024-03-02 00:00:00
239;5;5;1;2024-03-16 00:00:00
240;2;13;3;2024-07-21 00:00:00
241;6;5;4;2024-06-10 00:00:00
242;7;13;1;2023-03-08 00:00:00
243;7;11;3;2024-07-06 00:00:00
244;2;11;4;2024-02-06 00:00:00
245;8;5;2;2023-01-09 00:00:00
246;9;6;2;2023-06-30 00:00:00
247;1;20;4;2024-03-06 00:00:00
248;5;14;3;2023-01-01 00:00:00
249;6;20;2;2024-08-18 00:00:00
250;6;6;2;2024-02-28 00:00:00
251;10;1;3;2023-04-25 00:00:00
252;7;10;2;2023-08-02 00:00:00
253;2;13;4;2023-11-15 00:00:00
254;8;11;1;2024-08-03 00:00:00
255;8;8;2;2023-06-12 00:00:00
256;2;15;1;2023-10-10 00:00:00
257;5;15;4;2023-12-06 00:00:00
258;2;6;3;2023-02-01 00:00:00
259;3;8;2;2024-10-21 00:00:00
260;1;12;3;2024-07-11 00:00:00
261;9;12;2;2023-09-24 00:00:00
262;4;19;3;2023-04-30 00:00:00
263;9;4;4;2024-04-22 00:00:00
264;9;12;3;2024-07-04 00:00:00
265;8;18;2;2024-07-18 00:00:00
266;3;17;3;2024-05-24 00:00:00
267;5;5;4;2023-09-05 00:00:00
268;1;11;1;2024-04-20 00:00:00
269;2;17;1;2024-08-05 00:00:00
270;7;12;2;2023-06-25 00:00:00
271;8;16;2;2023-11-07 00:00:00
272;7;19;4;2024-03-11 00:00:00
273;4;1;1;2023-01-14 00:00:00
274;3;3;4;2023-05-14 00:00:00
275;10;1;1;2024-10-02 00:00:00
276;9;13;4;2023-10-12 00:00:00
277;5;9;1;2023-01-19 00:00:00
278;4;3;1;2024-09-03 00:00:00
279;1;17;1;2024-04-08 00:00:00
280;8;4;1;2023-07-24 00:00:00
281;10;19;4;2024-07-19 00:00:00
282;7;3;1;2024-05-17 00:00:00
283;8;9;4;2024-02-13 00:00:00
284;7;20;2;2023-02-16 00:00:00
285;2;16;4;2023-04-03 00:00:00
286;2;17;2;2024-10-14 00:00:00
287;6;12;2;2024-07-06 00:00:00
288;9;16;3;2024-08-14 00:00:00
289;10;18;4;2023-08-04 00:00:00
290;9;13;3;2023-01-10 00:00:00
291;8;16;3;2024-03-05 00:00:00
292;3;15;3;2024-11-09 00:00:00
293;8;10;4;2023-01-13 00:00:00
294;2;8;4;2023-01-23 00:00:00
295;1;2;3;2023-02-01 00:00:00
296;7;19;2;2024-08-12 00:00:00
297;9;4;2;2024-07-01 00:00:00
298;4;13;1;2023-06-11 00:00:00
299;9;17;2;2024-04-30 00:00:00
300;1;3;4;2023-06-26 00:00:00
301;3;8;1;2023-11-29 00:00:00
302;10;4;1;2024-12-18 00:00:00
303;7;13;1;2024-11-26 00:00:00
304;9;16;2;2024-09-28 00:00:00
305;1;3;4;2023-07-18 00:00:00
306;2;11;2;2023-07-21 00:00:00
307;1;9;4;2024-06-17 00:00:00
308;1;13;4;2023-12-25 00:00:00
309;10;17;4;2023-11-30 00:00:00
310;4;5;1;2023-07-30 00:00:00
311;4;12;2;2023-12-10 00:00:00
312;5;14;2;2023-06-19 00:00:00
313;3;17;4;2023-09-22 00:00:00
314;9;12;1;2023-02-23 00:00:00
315;5;16;2;2024-05-06 00:00:00
316;1;2;2;2024-02-06 00:00:00
317;3;7;3;2024-09-24 00:00:00
318;8;6;2;2023-05-29 00:00:00
319;10;16;1;2024-03-02 00:00:00
320;5;10;1;2023-10-16 00:00:00
321;8;11;2;2024-07-09 00:00:00
322;6;7;3;2023-04-30 00:00:00
323;4;15;1;2024-05-22 00:00:00
324;6;12;1;2023-10-28 00:00:00
325;2;14;4;2023-04-05 00:00:00
326;1;2;2;2024-04-28 00:00:00
327;1;5;3;2023-10-06 00:00:00
328;4;17;1;2024-08-22 00:00:00
329;10;15;1;2024-03-05 00:00:00
330;9;13;3;2023-09-26 00:00:00
331;9;5;4;2023-03-18 00:00:00
332;10;7;2;2023-09-23 00:00:00
333;5;19;3;2023-02-17 00:00:00
334;2;20;1;2023-12-25 00:00:00
335;9;16;1;2024-03-12 00:00:00
336;9;10;3;2024-11-24 00:00:00
337;6;8;4;2023-02-18 00:00:00
338;3;4;3;2024-02-13 00:00:00
339;6;11;1;2023-03-10 00:00:00
340;3;17;4;2024-08-07 00:00:00
341;7;1;3;2024-11-24 00:00:00
342;6;20;1;2024-09-24 00:00:00
343;9;11;1;2023-07-14 00:00:00
344;7;4;2;2024-02-18 00:00:00
345;3;4;4;2023-05-13 00:00:00
346;1;17;1;2024-01-03 00:00:00
347;4;13;1;2023-05-12 00:00:00
348;3;1;2;2024-06-09 00:00:00
349;2;17;3;2023-06-12 00:00:00
350;4;13;4;2023-05-20 00:00:00
351;4;2;2;2023-07-29 00:00:00
352;6;18;4;2023-03-29 00:00:00
353;5;4;2;2023-05-13 00:00:00
354;7;12;2;2024-05-28 00:00:00
355;6;6;4;2023-08-15 00:00:00
356;4;12;2;2023-06-12 00:00:00
357;10;1;2;2024-07-20 00:00:00
358;10;18;3;2023-11-08 00:00:00
359;7;11;4;2024-04-09 00:00:00
360;7;5;3;2023-11-11 00:00:00
361;9;1;2;2023-08-21 00:00:00
362;10;2;4;2023-03-12 00:00:00
363;6;7;1;2023-07-13 00:00:00
364;6;13;3;2023-03-24 00:00:00
365;7;3;4;2024-10-02 00:00:00
366;1;6;1;2023-08-09 00:00:00
367;3;9;1;2024-09-12 00:00:00
368;9;6;3;2024-10-29 00:00:00
369;8;15;1;2024-10-28 00:00:00
370;3;7;2;2023-07-27 00:00:00
371;10;1;1;2023-09-21 00:00:00
372;1;13;4;2024-08-06 00:00:00
373;4;13;2;2023-02-16 00:00:00
374;4;15;2;2024-05-27 00:00:00
375;2;9;4;2024-02-01 00:00:00
376;7;8;2;2023-01-04 00:00:00
377;6;16;2;2023-04-27 00:00:00
378;4;9;4;2023-08-28 00:00:00
379;10;8;2;2024-07-29 00:00:00
380;7;8;4;2023-02-12 00:00:00
381;4;16;1;2024-10-10 00:00:00
382;6;16;3;2023-12-17 00:00:00
383;1;1;4;2023-03-01 00:00:00
384;3;5;1;2024-05-26 00:00:00
385;1;17;3;2024-04-18 00:00:00
386;6;19;2;2024-10-16 00:00:00
387;4;10;2;2024-05-16 00:00:00
388;7;15;3;2023-01-24 00:00:00
389;6;8;3;2024-05-12 00:00:00
390;9;16;4;2024-10-23 00:00:00
391;1;7;1;2023-12-27 00:00:00
392;10;14;1;2024-04-02 00:00:00
393;6;20;2;2023-03-05 00:00:00
394;2;1;2;2024-04-26 00:00:00
395;9;5;4;2024-06-06 00:00:00
396;5;14;4;2023-02-10 00:00:00
397;9;7;2;2024-03-16 00:00:00
398;3;19;1;2024-02-03 00:00:00
399;3;19;3;2023-06-22 00:00:00
400;2;3;3;2024-06-03 00:00:00
401;7;17;3;2024-08-06 00:00:00
402;5;15;3;2023-10-14 00:00:00
403;8;7;4;2024-01-12 00:00:00
404;3;4;2;2023-02-06 00:00:00
405;10;15;4;2023-08-10 00:00:00
406;5;4;1;2023-10-23 00:00:00
407;1;1;4;2023-03-22 00:00:00
408;7;12;2;2024-01-26 00:00:00
409;1;6;2;2024-03-02 00:00:00
410;8;16;3;2023-08-19 00:00:00
411;10;4;2;2023-07-05 00:00:00
412;7;4;2;2023-05-27 00:00:00
413;8;7;1;2023-04-23 00:00:00
414;7;9;1;2024-02-08 00:00:00
415;1;1;2;2023-04-22 00:00:00
416;3;16;2;2023-06-01 00:00:00
417;6;5;4;2023-02-21 00:00:00
418;9;16;1;2023-07-16 00:00:00
419;5;2;1;2023-01-21 00:00:00
420;7;19;2;2023-08-31 00:00:00
421;1;7;2;2023-03-27 00:00:00
422;4;10;4;2024-09-10 00:00:00
423;8;1;3;2023-11-10 00:00:00
424;7;8;2;2024-01-25 00:00:00
425;5;16;3;2023-10-28 00:00:00
426;1;5;2;2024-07-31 00:00:00
427;7;4;3;2024-02-04 00:00:00
428;4;9;1;2024-01-24 00:00:00
429;9;3;3;2024-12-14 00:00:00
430;8;12;4;2024-07-13 00:00:00
431;4;15;3;2023-06-16 00:00:00
432;9;4;1;2024-10-27 00:00:00
433;5;12;1;2024-04-02 00:00:00
434;6;8;4;2024-11-06 00:00:00
435;4;4;1;2024-02-28 00:00:00
436;9;5;3;2024-04-30 00:00:00
437;2;5;2;2024-05-15 00:00:00
438;7;17;4;2024-08-30 00:00:00
439;10;16;2;2023-02-05 00:00:00
440;6;19;4;2024-01-10 00:00:00
441;5;5;4;2024-09-25 00:00:00
442;8;10;4;2023-02-13 00:00:00
443;9;17;1;2024-06-08 00:00:00
444;10;16;2;2024-02-25 00:00:00
445;10;14;4;2023-10-21 00:00:00
446;5;3;1;2024-03-03 00:00:00
447;6;2;4;2024-04-17 00:00:00
448;3;3;2;2024-04-25 00:00:00
449;8;12;3;2023-03-07 00:00:00
450;4;4;3;2024-02-21 00:00:00
451;1;1;3;2023-04-05 00:00:00
452;6;10;1;2024-09-06 00:00:00
453;1;17;1;2024-03-19 00:00:00
454;7;11;2;2023-02-24 00:00:00
455;9;15;2;2023-11-23 00:00:00
456;6;14;1;2024-05-14 00:00:00
457;7;17;3;2024-08-12 00:00:00
458;9;20;1;2024-12-26 00:00:00
459;8;15;4;2024-02-02 00:00:00
460;4;8;2;2023-08-21 00:00:00
461;6;20;2;2023-03-26 00:00:00
462;4;3;4;2024-06-16 00:00:00
463;5;20;1;2023-12-09 00:00:00
464;7;6;1;2024-11-30 00:00:00
465;1;6;1;2023-06-03 00:00:00
466;1;10;2;2024-07-25 00:00:00
467;5;19;2;2024-12-24 00:00:00
468;8;19;1;2024-08-30 00:00:00
469;5;10;4;2024-01-27 00:00:00
470;2;6;1;2023-04-12 00:00:00
471;4;10;3;2023-04-30 00:00:00
472;1;7;4;2024-07-26 00:00:00
473;7;18;1;2024-01-28 00:00:00
474;5;15;2;2024-06-23 00:00:00
475;3;12;3;2024-09-20 00:00:00
476;3;9;1;2024-07-12 00:00:00
477;8;1;1;2023-02-27 00:00:00
478;10;2;1;2023-06-25 00:00:00
479;5;19;3;2024-05-10 00:00:00
480;10;1;2;2023-01-30 00:00:00
481;1;10;3;2024-08-20 00:00:00
482;4;12;4;2023-07-07 00:00:00
483;10;11;4;2024-10-12 00:00:00
484;1;15;2;2023-05-29 00:00:00
485;2;5;4;2024-06-08 00:00:00
486;6;4;4;2024-07-06 00:00:00
487;1;15;2;2024-11-01 00:00:00
488;2;6;4;2023-10-13 00:00:00
489;5;7;2;2023-01-30 00:00:00
490;4;6;4;2024-01-14 00:00:00
491;9;2;3;2024-03-29 00:00:00
492;10;12;3;2024-06-01 00:00:00
493;3;3;2;2023-10-31 00:00:00
494;2;3;3;2024-02-06 00:00:00
495;2;5;3;2024-12-08 00:00:00
496;2;4;2;2024-05-11 00:00:00
497;10;16;4;2024-10-04 00:00:00
498;9;17;2;2023-12-22 00:00:00
499;2;4;1;2023-11-23 00:00:00
500;8;5;4;2023-03-26 00:00:00
501;5;17;4;2024-04-26 00:00:00
502;8;2;2;2024-03-21 00:00:00
503;4;2;4;2024-12-27 00:00:00
504;3;6;1;2024-06-30 00:00:00
505;2;14;3;2023-08-30 00:00:00
506;5;4;3;2024-03-07 00:00:00
507;6;20;2;2023-01-11 00:00:00
508;2;13;3;2023-03-25 00:00:00
509;6;7;4;2024-05-11 00:00:00
510;4;15;4;2024-12-20 00:00:00
511;9;17;4;2023-10-28 00:00:00
512;4;9;1;2024-05-20 00:00:00
513;7;10;3;2024-08-27 00:00:00
514;9;18;1;2024-12-04 00:00:00
515;4;6;4;2024-12-27 00:00:00
516;1;10;1;2023-06-11 00:00:00
517;10;20;4;2023-02-24 00:00:00
518;2;14;3;2023-07-02 00:00:00
519;3;12;4;2023-12-16 00:00:00
520;3;7;4;2023-11-14 00:00:00
521;8;19;4;2024-10-14 00:00:00
522;6;20;1;2024-01-29 00:00:00
523;9;17;1;2024-03-09 00:00:00
524;2;11;1;2024-11-07 00:00:00
525;7;11;2;2023-10-26 00:00:00
526;4;2;3;2024-04-09 00:00:00
527;9;14;3;2024-05-20 00:00:00
528;6;4;4;2024-04-14 00:00:00
529;10;12;2;2024-07-30 00:00:00
530;9;1;3;2024-11-25 00:00:00
531;10;8;2;2024-02-28 00:00:00
532;9;18;4;2023-07-21 00:00:00
533;10;10;1;2024-10-31 00:00:00
534;2;17;2;2024-08-22 00:00:00
535;2;10;1;2024-03-09 00:00:00
536;2;11;4;2023-05-28 00:00:00
537;7;12;4;2024-02-22 00:00:00
538;9;5;1;2024-08-08 00:00:00
539;9;1;2;2023-08-18 00:00:00
540;1;7;3;2024-06-12 00:00:00
541;6;11;4;2023-10-28 00:00:00
542;2;2;3;2024-08-02 00:00:00
543;7;5;2;2023-01-31 00:00:00
544;4;15;4;2024-06-25 00:00:00
545;3;7;4;2024-04-10 00:00:00
546;5;13;1;2023-06-08 00:00:00
547;9;7;3;2023-05-31 00:00:00
548;1;10;1;2023-03-02 00:00:00
549;4;15;3;2024-09-22 00:00:00
550;10;13;3;2023-05-14 00:00:00
551;7;9;3;2024-08-17 00:00:00
552;8;2;1;2023-02-10 00:00:00
553;9;14;4;2023-10-23 00:00:00
554;7;6;3;2024-10-31 00:00:00
555;9;19;2;2024-11-07 00:00:00
556;8;7;3;2023-06-09 00:00:00
557;1;6;4;2024-05-23 00:00:00
558;6;15;1;2023-05-12 00:00:00
559;3;4;3;2024-03-08 00:00:00
560;2;1;3;2023-09-28 00:00:00
561;5;15;3;2024-10-16 00:00:00
562;7;3;4;2023-09-30 00:00:00
563;7;15;2;2024-10-09 00:00:00
564;5;20;4;2024-06-18 00:00:00
565;8;12;1;2024-12-15 00:00:00
566;2;6;3;2023-02-16 00:00:00
567;1;8;1;2024-05-14 00:00:00
568;7;16;1;2024-05-22 00:00:00
569;7;11;3;2023-12-06 00:00:00
570;1;18;2;2023-06-24 00:00:00
571;7;8;3;2023-03-06 00:00:00
572;10;20;3;2024-07-19 00:00:00
573;2;15;1;2024-10-26 00:00:00
574;9;12;2;2024-08-15 00:00:00
575;8;19;2;2023-10-03 00:00:00
576;9;15;2;2024-10-17 00:00:00
577;2;20;3;2023-02-07 00:00:00
578;2;12;2;2024-06-03 00:00:00
579;3;8;4;2023-12-02 00:00:00
580;1;16;3;2024-05-09 00:00:00
581;5;6;2;2023-12-04 00:00:00
582;4;12;4;2024-04-18 00:00:00
583;8;6;2;2024-06-10 00:00:00
584;4;2;4;2024-06-16 00:00:00
585;8;2;2;2023-04-10 00:00:00
586;8;16;4;2024-11-01 00:00:00
587;9;19;2;2024-10-20 00:00:00
588;6;3;1;2023-01-31 00:00:00
589;5;9;4;2024-12-30 00:00:00
590;1;18;1;2024-07-26 00:00:00
591;4;8;1;2024-07-24 00:00:00
592;8;10;3;2024-12-17 00:00:00
593;1;19;1;2024-03-11 00:00:00
594;10;16;1;2023-11-21 00:00:00
595;4;9;2;2023-01-05 00:00:00
596;4;8;3;2023-06-15 00:00:00
597;6;14;3;2023-07-26 00:00:00
598;2;4;2;2024-10-20 00:00:00
599;1;13;3;2023-04-25 00:00:00
600;4;2;3;2023-11-08 00:00:00
601;8;11;1;2023-04-03 00:00:00
602;6;20;3;2023-09-11 00:00:00
603;7;16;4;2023-10-12 00:00:00
604;2;11;4;2023-01-27 00:00:00
605;6;18;4;2023-01-06 00:00:00
606;10;9;1;2023-01-29 00:00:00
607;9;7;4;2023-04-22 00:00:00
608;6;15;4;2024-02-09 00:00:00
609;8;1;2;2024-03-02 00:00:00
610;7;15;3;2023-01-01 00:00:00
611;2;10;2;2024-04-21 00:00:00
612;1;6;2;2023-08-04 00:00:00
613;5;8;3;2024-09-12 00:00:00
614;6;18;4;2024-09-13 00:00:00
615;1;14;1;2024-02-08 00:00:00
616;10;5;3;2023-09-08 00:00:00
617;9;11;4;2023-01-29 00:00:00
618;9;16;2;2023-06-27 00:00:00
619;3;3;2;2024-05-04 00:00:00
620;10;9;1;2023-05-02 00:00:00
621;7;2;4;2023-04-24 00:00:00
622;9;1;1;2023-11-30 00:00:00
623;6;3;2;2023-02-04 00:00:00
624;9;5;2;2023-05-13 00:00:00
625;7;1;1;2024-01-12 00:00:00
626;1;14;1;2023-08-03 00:00:00
627;8;2;4;2023-07-28 00:00:00
628;9;16;3;2023-06-04 00:00:00
629;4;9;1;2023-08-11 00:00:00
630;3;7;1;2023-03-09 00:00:00
631;7;4;1;2024-08-21 00:00:00
632;9;5;4;2024-11-27 00:00:00
633;6;13;2;2024-08-01 00:00:00
634;6;4;3;2024-11-16 00:00:00
635;6;18;4;2023-09-19 00:00:00
636;10;5;2;2023-02-25 00:00:00
637;10;17;4;2024-06-25 00:00:00
638;6;16;1;2024-05-29 00:00:00
639;7;1;4;2023-07-29 00:00:00
640;4;6;1;2023-05-21 00:00:00
641;6;2;4;2024-11-27 00:00:00
642;7;2;3;2024-07-26 00:00:00
643;9;4;4;2023-03-27 00:00:00
644;7;2;1;2024-04-04 00:00:00
645;8;3;2;2024-02-10 00:00:00
646;2;3;2;2023-07-18 00:00:00
647;6;13;2;2024-11-17 00:00:00
648;7;17;2;2023-04-07 00:00:00
649;1;7;2;2024-11-24 00:00:00
650;5;13;3;2023-08-04 00:00:00
651;7;13;2;2024-06-21 00:00:00
652;1;12;4;2024-10-02 00:00:00
653;8;11;2;2023-12-28 00:00:00
654;1;18;2;2024-09-06 00:00:00
655;9;13;4;2023-03-01 00:00:00
656;9;1;3;2023-09-09 00:00:00
657;8;18;4;2023-08-30 00:00:00
658;2;14;1;2024-11-17 00:00:00
659;9;20;2;2024-03-22 00:00:00
660;9;5;1;2024-06-17 00:00:00
661;6;9;2;2024-06-05 00:00:00
662;9;19;4;2023-03-16 00:00:00
663;3;18;2;2023-10-02 00:00:00
